,datetime,code,price,quantity,info,value
171,2018-07-13 15:15:00,19Jul201827100PE,218.75,25,End of day reached,-5468.75
172,2018-07-16 09:15:00,19Jul201827000CE,108.0,-25,First trade,2700.0
173,2018-07-16 09:15:00,19Jul201827000PE,196.0,-25,First trade,4900.0
174,2018-07-16 15:00:00,19Jul201827000CE,43.3,25,stoploss breached,-1082.5
175,2018-07-16 15:00:00,19Jul201827000PE,295.0,25,stoploss breached,-7375.0
176,2018-07-17 09:15:00,19Jul201826700CE,169.5,-25,First trade,4237.5
177,2018-07-17 09:15:00,19Jul201826700PE,81.05,-25,First trade,2026.25
178,2018-07-17 13:47:00,19Jul201826700CE,243.85,25,stoploss breached,-6096.25
179,2018-07-17 13:47:00,19Jul201826700PE,34.2,25,stoploss breached,-855.0000000000001
180,2018-07-19 09:15:00,19Jul201827000CE,46.0,-25,First trade,1150.0
181,2018-07-19 09:15:00,19Jul201827000PE,110.0,-25,First trade,2750.0
182,2018-07-19 09:32:00,19Jul201827000CE,21.25,25,stoploss breached,-531.25
183,2018-07-19 09:32:00,19Jul201827000PE,150.8,25,stoploss breached,-3770.0000000000005
184,2018-07-20 09:15:00,26Jul201826800CE,203.15,-25,First trade,5078.75
185,2018-07-20 09:15:00,26Jul201826800PE,174.8,-25,First trade,4370.0
186,2018-07-20 15:15:00,26Jul201826800CE,261.3,25,End of Day reached,-6532.5
187,2018-07-20 15:15:00,26Jul201826800PE,125.35,25,End of day reached,-3133.75
188,2018-07-24 09:15:00,26Jul201827000CE,206.95,-25,First trade,5173.75
189,2018-07-24 09:15:00,26Jul201827000PE,75.2,-25,First trade,1880.0
190,2018-07-24 15:15:00,26Jul201827000CE,136.6,25,End of Day reached,-3415.0
191,2018-07-24 15:15:00,26Jul201827000PE,94.95,25,End of day reached,-2373.75
192,2018-07-25 09:15:00,26Jul201827000CE,138.55,-25,First trade,3463.7500000000005
193,2018-07-25 09:15:00,26Jul201827000PE,82.8,-25,First trade,2070.0
194,2018-07-25 15:15:00,26Jul201827000CE,124.75,25,End of Day reached,-3118.75
195,2018-07-25 15:15:00,26Jul201827000PE,60.9,25,End of day reached,-1522.5
196,2018-07-26 09:15:00,26Jul201827100CE,75.25,-25,First trade,1881.25
197,2018-07-26 09:15:00,26Jul201827100PE,63.0,-25,First trade,1575.0
198,2018-07-26 09:23:00,26Jul201827100CE,97.65,25,stoploss breached,-2441.25
199,2018-07-26 09:23:00,26Jul201827100PE,54.55,25,stoploss breached,-1363.75
200,2018-07-31 09:15:00,02Aug201827800CE,112.95,-25,First trade,2823.75
201,2018-07-31 09:15:00,02Aug201827800PE,154.1,-25,First trade,3852.5
202,2018-07-31 15:15:00,02Aug201827800CE,115.95,25,End of Day reached,-2898.75
203,2018-07-31 15:15:00,02Aug201827800PE,130.2,25,End of day reached,-3254.9999999999995
204,2018-08-01 09:15:00,02Aug201827700CE,163.7,-25,First trade,4092.4999999999995
205,2018-08-01 09:15:00,02Aug201827700PE,90.75,-25,First trade,2268.75
206,2018-08-01 15:15:00,02Aug201827700CE,64.7,25,End of Day reached,-1617.5
207,2018-08-01 15:15:00,02Aug201827700PE,115.8,25,End of day reached,-2895.0
208,2018-08-03 09:15:00,09Aug201827500CE,173.3,-25,First trade,4332.5
209,2018-08-03 09:15:00,09Aug201827500PE,171.55,-25,First trade,4288.75
210,2018-08-03 15:15:00,09Aug201827500CE,295.65,25,End of Day reached,-7391.249999999999
211,2018-08-03 15:15:00,09Aug201827500PE,63.9,25,End of day reached,-1597.5
212,2018-08-07 09:15:00,09Aug201828000CE,100.0,-25,First trade,2500.0
213,2018-08-07 09:15:00,09Aug201828000PE,158.05,-25,First trade,3951.2500000000005
214,2018-08-07 15:15:00,09Aug201828000CE,73.5,25,End of Day reached,-1837.5
215,2018-08-07 15:15:00,09Aug201828000PE,160.7,25,End of day reached,-4017.4999999999995
216,2018-08-08 09:15:00,09Aug201828000CE,74.05,-25,First trade,1851.25
217,2018-08-08 09:15:00,09Aug201828000PE,135.0,-25,First trade,3375.0
218,2018-08-08 15:15:00,09Aug201828000CE,127.5,25,End of Day reached,-3187.5
219,2018-08-08 15:15:00,09Aug201828000PE,45.95,25,End of day reached,-1148.75
220,2018-08-10 09:15:00,16Aug201828400CE,96.0,-25,First trade,2400.0
221,2018-08-10 09:15:00,16Aug201828400PE,245.15,-25,First trade,6128.75
222,2018-08-10 14:50:00,16Aug201828400CE,63.5,25,stoploss breached,-1587.5
223,2018-08-10 14:50:00,16Aug201828400PE,285.6,25,stoploss breached,-7140.000000000001
224,2018-08-14 09:15:00,16Aug201827900CE,140.75,-25,First trade,3518.75
225,2018-08-14 09:15:00,16Aug201827900PE,103.0,-25,First trade,2575.0
226,2018-08-14 15:15:00,16Aug201827900CE,191.95,25,End of Day reached,-4798.75
227,2018-08-14 15:15:00,16Aug201827900PE,40.0,25,End of day reached,-1000.0
228,2018-08-17 09:15:00,23Aug201828000CE,165.9,-25,First trade,4147.5
229,2018-08-17 09:15:00,23Aug201828000PE,160.0,-25,First trade,4000.0
230,2018-08-17 15:15:00,23Aug201828000CE,243.5,25,End of Day reached,-6087.5
231,2018-08-17 15:15:00,23Aug201828000PE,93.15,25,End of day reached,-2328.75
232,2018-08-20 09:15:00,23Aug201828200CE,187.2,-25,First trade,4680.0
233,2018-08-20 09:15:00,23Aug201828200PE,93.0,-25,First trade,2325.0
234,2018-08-20 15:15:00,23Aug201828200CE,195.2,25,End of Day reached,-4880.0
235,2018-08-20 15:15:00,23Aug201828200PE,78.95,25,End of day reached,-1973.75
236,2018-08-21 09:15:00,23Aug201828300CE,120.95,-25,First trade,3023.75
237,2018-08-21 09:15:00,23Aug201828300PE,111.5,-25,First trade,2787.5
238,2018-08-21 15:15:00,23Aug201828300CE,78.45,25,End of Day reached,-1961.25
239,2018-08-21 15:15:00,23Aug201828300PE,109.25,25,End of day reached,-2731.25
240,2018-08-27 09:15:00,30Aug201828000CE,221.8,-25,First trade,5545.0
241,2018-08-27 09:15:00,30Aug201828000PE,82.7,-25,First trade,2067.5
242,2018-08-27 12:07:00,30Aug201828000CE,291.55,25,stoploss breached,-7288.75
243,2018-08-27 12:07:00,30Aug201828000PE,43.8,25,stoploss breached,-1095.0
244,2018-08-29 09:15:00,30Aug201828300CE,79.8,-25,First trade,1995.0
245,2018-08-29 09:15:00,30Aug201828300PE,136.55,-25,First trade,3413.7500000000005
246,2018-08-29 15:15:00,30Aug201828300CE,64.0,25,End of Day reached,-1600.0
247,2018-08-29 15:15:00,30Aug201828300PE,124.3,25,End of day reached,-3107.5
248,2018-08-30 09:15:00,30Aug201828300CE,25.0,-25,First trade,625.0
249,2018-08-30 09:15:00,30Aug201828300PE,145.4,-25,First trade,3635.0
250,2018-08-30 09:16:00,30Aug201828300CE,17.45,25,stoploss breached,-436.25
251,2018-08-30 09:16:00,30Aug201828300PE,178.65,25,stoploss breached,-4466.25
252,2018-08-31 09:15:00,06Sep201828000CE,247.8,-25,First trade,6195.0
253,2018-08-31 09:15:00,06Sep201828000PE,121.65,-25,First trade,3041.25
254,2018-08-31 15:15:00,06Sep201828000CE,250.85,25,End of Day reached,-6271.25
255,2018-08-31 15:15:00,06Sep201828000PE,96.05,25,End of day reached,-2401.25
256,2018-09-04 09:15:00,06Sep201827900CE,142.95,-25,First trade,3573.7499999999995
257,2018-09-04 09:15:00,06Sep201827900PE,116.15,-25,First trade,2903.75
258,2018-09-04 09:37:00,06Sep201827900CE,51.55,25,stoploss breached,-1288.75
259,2018-09-04 09:37:00,06Sep201827900PE,236.45,25,stoploss breached,-5911.25
260,2018-09-05 09:15:00,06Sep201827500CE,98.65,-25,First trade,2466.25
261,2018-09-05 09:15:00,06Sep201827500PE,131.65,-25,First trade,3291.25
262,2018-09-05 11:50:00,06Sep201827500CE,35.3,25,stoploss breached,-882.4999999999999
263,2018-09-05 11:50:00,06Sep201827500PE,203.95,25,stoploss breached,-5098.75
264,2018-09-06 09:15:00,12Sep201827500CE,134.3,-25,First trade,3357.5000000000005
265,2018-09-06 09:15:00,12Sep201827500PE,198.4,-25,First trade,4960.0
266,2018-09-06 09:33:00,12Sep201827500CE,122.9,25,stoploss breached,-3072.5
267,2018-09-06 09:33:00,12Sep201827500PE,247.15,25,stoploss breached,-6178.75
268,2018-09-07 09:15:00,12Sep201827500CE,101.7,-25,First trade,2542.5
269,2018-09-07 09:15:00,12Sep201827500PE,247.5,-25,First trade,6187.5
